운전 배우다 원하다|운전교육 신청하러 오셨어요?
기념 우표 5장 달라다|기념 우표 5장 주세요
기다리다 미안|기다리게 해서 미안합니다
기다리다 동안 커피 마시다 질문|기다리시는 동안 커피 한 잔 드시겠어요
기대 하지마|기대하지 말아요
기름 물 점검 질문|기름과 물도 점검해 드릴까요
기부 달라다|기부 좀 해 주십시오
기분 상하다 목적 말 아니다|기분을 상하게 하려고 한 말은 아니었습니다
기분 상하다 있다 무엇 걱정|기분을 상하게 해드리지는 않았는지 모르겠네요
기분 전환 목적 밖 바람 걷다 하다|기분전환 겸 산보나 합시다
기억 잘하다|기억력이 참 좋으시군요
오다 끝 먹다 가다 낫다|기왕에 왔으니까 식사를 하는게 낫겠어요
기차 타다 곳 어디 가르치다 달라다|기차역이 어디 있는지 가르쳐 주시겠어요
기침 콧물 있다|기침이 나고 콧물이 흐릅니다
주저 없다 이야기 하다|기탄 없이 말하겠어요
기회 있다 면 노력 열심|기회가 주어진다면 최선을 다하겠습니다
기회 달라다|기회를 주세요
길 건너편 곳 있다|길 건너편에 있습니다
길 양보 부탁|길 좀 비켜 주세요
길 건너다 왼쪽 있다|길을 건너 왼쪽으로 가세요
길 안내 돕다|길을 안내할께요
길 잃다|길을 잃었습니다
꼭 아니다|꼭 그렇지는 않아요
끝까지 집요하다|끝까지 물고 늘어져요
끝까지 고집 미안하다|끝까지 우겨서 미안해요
끝 질문|끝났습니까
나 반대하다|나는 결사반대입니다
나 결심 끝|나는 굳게 결심했다

나 계획 인정|나는 그 계획에 찬성합니다
나 그 말 거짓 알다 있다|나는 그가 거짓말하고 있다는 걸 알고 있었어
나 그 선생 알다 있다|나는 그가 선생인 줄 알았어요
나 아무것 모르다|나는 그걸 전혀 모르겠어요
나 반대 안하다|나는 그것을 반대하지 않습니다
나 그녀 화내다 이유 있다|나는 그녀에게 화낼 만한 이유가 있어요
나 신경 없다|나는 그런 것에 개의치 않아요
나 그 얼굴 만 알다|나는 그를 얼굴만 알고 있습니다
나 그 존경|나는 그를 존경해요
나 그 성격 잘하다 알다|나는 그의 성격을 잘 알고 있어요
나 매우 깊다 연결|나는 너무 깊게 관여되어 있어요
나 다르다 사람 보다 나 혼자 의지|나는 다른 누구보다도 내자신에 더 많이 의존하고 있어요
나 당신 반하다|나는 당신에게 반했습니다
나 당신 자랑|나는 당신이 자랑스럽습니다
나 일 맡다 못하다|나는 더 이상 일을 맡지 못하겠어요
나 말 못하다|나는 말이 안 나왔어요
나 가장 마지막 곳 앉다 좋다|나는 맨 뒷자리에 앉기를 좋아해요
나 방금 뉴스 보다|나는 방금 뉴스를 보고 있었어요
나 연극 보다 억지|나는 억지로 그 연극을 끝까지 보았어요
나 예일 대학 들어가다 정도 점수 높다|나는 예일대학에 입학할 만큼 높은 점수를 얻었어요
나 오늘 미팅 끝|나는 오늘 미팅했어요
나 노래 꼴찌|나는 음치예요
나 책 읽다 감동 처음|나는 이렇게 감동적인 책을 읽어 본 적이 없어요
나 돈 없다 도 세상 살다 견디다 가능|나는 이세상을 돈 없이 견딜 수 있어요
나 영원 돌아오다 안하다 결정|나는 이제 영원히 돌아오지 않기로 작정했어요
나 작가 되다 결정|나는 작가가 되기로 결심했어요
나 저 스타일 싫다|나는 저런 스타일은 싫어요
나 완전 인정|나는 전적으로 찬성합니다
나 절대 그녀 신용 안하다|나는 절대로 그녀를 신용하지 않아요
나 정치 아무것 모르다|나는 정치라고는 전혀 모릅니다
나 형편없다|나는 형편없어
나 똑같다 하다|나도 같은 것으로 하겠습니다
나 똑같다 말하다|나도 그렇게 말했어요
나 처음 듣다|나도 금시초문이예요
나 다르다 사람 똑같다 살다 가능|나도 남들처럼 살아갈 수 있어요
나 당신 의견 같다|나도 당신과 같은 의견입니다
나 생각 마찬가지|나도 마찬가지 생각입니다
나 동의 진짜|나도 진심으로 동의합니다
나 반대 없다|나로서는 그것에 반대하지 않습니다
나 아무것 일 중간 멈추다 못하다|나로서는 어떤 일을 중도에서 팽개칠 수 없어요
나 고자질 끝 질문|나를 고자질 할 건가요
나 믿다 하지마|나를 꼭 믿지는 말아요
나 실망 주다 하지마|나를 실망시키지 마세요
나 영화 보다 함께 부탁|나를 영화에 데려가 주세요
나쁘다 친구 사귀다 하지마|나쁜 친구들을 사귀지 말아라
나 연락 달라다|나에게 연락해 주세요
나 귀찮다 주다 하지마|나에게 추근거리지 말아요
나 계획 모두 단계 잘하다|나의 모든 계획은 착착 진행되고 있습니다
나 만들다 새롭다 프로그램 보다 생각 무엇|나의 새 프로그램을 어떻게 생각하세요
나이 비밀 못하다|나이를 숨길 수 없어요
나이 보다 얼굴 젊다 보다|나이에 비해 젊어 보이시는 군요
나 쓸데없다 장난 하지마|나한테 쓸데없는 칭찬을 하지 마세요
나 연극 표 2장 있다|나한테 연극표가 두장 있어요
낙담 하지마|낙담하지 말아요
낚시 취미|낚시를 즐겨합니다
나 실험 결과 기대 크다|난 그 실험결과에 큰 기대를 걸고 있어요
나 그 얼굴 모습 흥미 보다 끝|난 그의 얼굴에서 흥미 있는 표정을 보았어요
나 긴장 중|난 긴장하고 있어요
나 영웅 본받다 중|난 내 영웅들의 본을 따르고 있어요
나 너 자랑|난 네가 자랑스럽다
나 그냥 농담|난 단지 농담을 했을 뿐이예요
나 당신 생각 방식 이해 백 못하다|난 당신의 관점을 충분히 이해를 못 하겠습니다
나 도박 곳 가다 안하다|난 도박장에는 절대 안 갑니다
나 배 타다 멀미 있다|난 배만 타면 배멀미를 해요
날씨 덥다|날씨가 무덥군요
날씨 좋다|날씨가 참 좋죠
다르다 사람 말 상관 없다 나 일 집중 하다|남이 뭐라고 할지라도 내 할일은 하겠습니다
다르다 사람 가능 나 가능|남이 하는 일이면 나도 할 수 있어요
다르다 사람 무엇 상관 없다 좋다 같다|남이야 뭘 하든 상관 않는 것이 좋을 겁니다
남자 맞추다 일 싫다 도 참다|남자답게 싫은 일도 참아라
나 돕다 필요 면 부탁 항상 괜찮다|내 도움이 필요하시면 언제든지 부탁하세요
나 문제 비교 문제 없다|내 문제와 비교하면 아무것도 아니예요
나 방 엘리베이터 매우 가깝다 때문 바꾸다 원하다 가능 질문|내 방이 엘리베이터에 너무 가까이 있는데 바꿀 수 있을까요
나 사무실 받다|내 사무실에서 받지요
 나 생각 당신 적극 못하다|내 생각에는 당신이 적극적이 못 되는 것 같아요
나 의견 알리다 기쁘다|내 의견을 알리게 되어 기뻐요
나 잘못|내 잘못이었어요
나 잊다|내가 깜빡 잊었군요
나 공부 내용 매우 어렵다|내가 들은 과목은 나한테 너무 어려웠어요
나 말 잘못|내가 말을 잘못했습니다
나 말 이거 다르다|내가 말하려고 한 것은 그것이 아니었어요
나 때문 망치다 아마|내가 망친것 같군요
나 문 나가다 해보다 무엇|내가 문에 나가 볼까요
나 바보 생각 질문|내가 바보인 줄 아세요
나 밖 동안 전화 있다 무엇 질문|내가 밖에 있는 동안 전화온거 있었나요
나 보다 너 성공 크다 확실|내가 보기에 너는 대성할 사람 같아
나 모르다|내가 아는 바가 아닙니다
그 아마 교수|내가 아는 바로는 그분은 교수예요
우리 반 중 나 가장 꼴찌|내가 우리 반에서 제일 뒤떨어진 것 같아요
나 좋다 드라마 놓치다 원하다 없다|내가 좋아하는 연속극을 안 놓치고 싶어요
나 말 이해 되다 질문|내가 한 말 알아들었나요
나 설명 부탁|내게 설명 좀 해 주시겠어요
나 좋다 생각 있다|내게 좋은 생각이 있어요
내려다가 홀 오른쪽 곳 있따|내려가시면 홀 오른쪽에 있습니다
나 사무실 찾다 어렵다 없다 아마|내 사무실을 찾는데 아무런 문제가 없을 거예요
내일 전화 다시|내일 다시 전화 하지요
내일 문 열다 질문|내일 문을 여십니까
내일 아침 8시 나가다|내일 아침 8시에 나가게 될 겁니다
내일 아침 가장 먼저 그 전화 하다|내일 아침 맨 먼저 그에게 전화할께요
내일 오후 시간 가능 질문|내일 오후에 시간이 있으시세요
내일 저녁 때 자리 예약 가능 질문|내일 저녁 자리를 예약할 수 있을까요
내일 당신 차 빌리다 가능 질문|내일 제가 당신의 차를 써도 될까요
내일 나라 축하 날 때문 하루 쉬다|내일은 국경일이기 때문에 온종일 문을 닫습니다
내일 도시락 가지다 오다|내일은 도시락을 갖고 오십시오
내일 쉬다 원하다|내일은 쉬고 싶습니다
내일 나 쉬다 날|내일은 제가 쉬는 날입니다
다음주까지 연기|다음주까지 연기합시다
너 공부 만|너는 공부만 하면 된다
너 너 그대로 하다|너는 너대로 해라
너 어머니 말 그대로 순종 필요|너는 어머니의 말씀을 따라야 한다
너 완전 틀리다|너는 완전히 틀렸다
여기 곳 너 만나다 생각 못하다|너를 여기서 만나게 될 줄은 상상도 못했어
너희 모두 마찬가지|너희들도 모두 마찬가지야
너희 항상 붙다|너희들은 항상 붙어다니는 구나
네 배달 가능|네 배달해 드립니다
너 나보다 낫다|네가 나보다는 한 수 위야
너 괜찮다 면 나 보다 돕다|네가 좋다면 내가 봐 줄게
너 일 발생 무엇 나 이야기 달라다|네게 무슨 일이 있었는지 그대로 내게 말해봐
놀리다 질문|놀리시는 겁니까
농담 심하다 하지마|농담을 너무 심하게 하지 말아요
이야기 누구|누가 그 얘기를 하던가요
지금 누구|누가 할 차례지
다치다 사람 누구|누구 다친 사람이 있습니까
시험 모두 잘하다|누구나 시험을 잘 보았어요
누구 상관 없다 모두 가입비 없다 회원 가능|누구든지 가입비 없이 회원이 될 수있습니다
응원 누구|누구를 응원하고 있는 거죠
누구 질문|누구시더라
아무것 말하다 경험 없다|누구한테도 말한 적이 없어요
|나 아파트 곳 낯설다 사람 오다|누군가가 제 아파트에 침입했습니다
쉽다|누워서 떡먹기예요
뉴스 또 날씨 다음 프로 무엇|뉴스와 날씨 다음 프로가 뭐지요
뉴욕 가다 중|뉴욕에 가는 중입니다
뉴욕 곳 만나다 우연|뉴욕에서 뵙게 되다니 정말 우연의 일치로군요
뉴욕 여름 때 항상 덥다 질문|뉴욕의 여름은 언제나 이렇게 덥나요
뉴욕 가다 비행기 자주 얼마|뉴욕행 비행기는 얼마나 자주 있나요
늦다 미안하다|늦어서 미안합니다
늦다 용서 달라다|늦은 것 용서해 주세요
늦다 아마|늦을 것 같습니다
다르다 사람 묻다 해보다|다른 분한테 물어 보시죠
다르다 교환 가능 질문|다른것과 교환할 수있을까요
다시 만나다 반갑다|다시 만나서 반갑습니다
다시 이야기 부탁|다시 한 번 말씀해 주시겠어요
다음 금요일 때 아이 돌보다 가능 질문|다음 금요일에 아이를 봐 주실수 있으세요
다음 기회 미루다 가능 질문|다음 기회로 미룰 수 있을까요
다음 정류장 내리다|다음 정류장에서 내리겠습니다
다음 누구|다음은 누구 차례지요
다음 당신|다음은 당신 차례입니다
다이어트 계속 운동 많다 중|다이어트를 계속하고 운동을 많이 해요
달다 좋다 질문|단 것을 좋아하세요
생각 다르다|단념하겠어요
나 때문|단지 제 탓이죠
달걀 상하다|달걀이 상했군요
담배 없다 살다 못하다|담배 없이는 단 하루도 못살 것 같아요
담배 당신 건강 해치다 위험|담배는 당신의 건강을 심히 손상시킬 수 있어요
담배 끊다 필요|담배를 끊으셔야해요
담배 많다 질문|담배를 많이 피우시나요
당신 가족 잘 살다 질문|당신 가족들은 다 안녕하신지요
당신 고향 날씨 무엇|당신 고향의 기후는 어떻습니까
당신 때문 오늘 하루 즐기다|당신 덕분에 오늘 정말 재미있게 보냈습니다
당신 배우자 태어나다 날 언제|당신 배우자의 생년월일이 어떻게 됩니까
당신 직업 관련하다 이야기 더 달라다|당신 직업에 대해 좀 더 자세히 얘기해 주시겠어요
당신 특기 무엇|당신 특기가 뭐예요
당신 방법 배우다 되다 아마|당신도 그 요령을 알게 될거예요
당신 준비 끝나다 나 항상 좋다|당신만 준비되셨다면 저는 언제라도 좋습니다
당신 손 가지다|당신에게 달려 있습니다
당신 맡기다|당신에게 맡깁니다
당신 방법 무엇 알다 질문|당신에게 무슨 비결이라도 있으세요
당신 하다 이야기 있다|당신에게 이야기할 것이 있습니다
당신 실패 결코 없다|당신은 결코 실패할 리는 없어요
당신 그 생각 버리다 필요|당신은 그 생각을 버려야 해요
당신 그거 이용 잘하다 필요하다|당신은 그것을 잘 이용해야 해요
당신 눈 예쁘다|당신은 눈이 참 예쁘군요
당신 능력 대단하다|당신은 능력이 대단하시군요
당신 딴청 중|당신은 딴청을 부리고 있군요
